iter	Passed	Remaining
0	1	176
1	2	146
2	4	134
3	5	122
4	6	120
5	7	117
6	8	115
7	9	113
8	11	112
9	12	110
10	13	108
11	14	107
12	15	106
13	17	105
14	18	103
15	19	103
16	20	101
17	21	99
18	23	98
19	24	97
20	25	95
21	26	94
22	27	92
23	29	91
24	30	91
25	31	89
26	32	88
27	33	87
28	35	85
29	36	84
30	37	83
31	38	82
32	39	80
33	40	79
34	42	78
35	43	77
36	44	76
37	46	75
38	47	74
39	48	72
40	49	71
41	50	69
42	51	68
43	52	66
44	53	65
45	54	64
46	56	63
47	57	62
48	58	61
49	59	59
50	61	58
51	62	57
52	63	56
53	64	55
54	65	53
55	66	52
56	67	51
57	68	49
58	70	48
59	71	47
60	72	46
61	73	45
62	75	44
63	76	42
64	77	41
65	78	40
66	79	39
67	80	38
68	81	36
69	83	35
70	84	34
71	85	33
72	86	32
73	88	31
74	89	29
75	90	28
76	91	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	100	19
84	101	17
85	102	16
86	103	15
87	105	14
88	106	13
89	107	11
90	108	10
91	109	9
92	110	8
93	112	7
94	113	5
95	114	4
96	115	3
97	117	2
98	118	1
99	119	0
